generation,candidate,formula,A,B,B_prime,fitness,predicted_band_gap,predicted_ehull,predicted_formation_energy,charge_neutral
36,"['Sr', 'Ta', 'Co']",Sr2TaCoO6,Sr,Ta,Co,0.017168384920635216,1.5171683849206352,0.0032514430228887583,-2.884980643811411,True
7,"['Sr', 'V', 'Ni']",Sr2VNiO6,Sr,V,Ni,0.02104374968254019,1.4789562503174598,0.013544886931714357,-2.8187431978452673,True
4,"['Sr', 'Ta', 'Ni']",Sr2TaNiO6,Sr,Ta,Ni,0.02942322588744517,1.5294232258874452,0.00540672741235881,-2.870783057867653,True
4,"['Sr', 'Nb', 'Ti']",Sr2NbTiO6,Sr,Nb,Ti,0.03631448896825429,1.5363144889682543,0.010315120119112,-3.0941762357397966,True
3,"['Ca', 'Nb', 'Ti']",Ca2NbTiO6,Ca,Nb,Ti,0.05306733492063387,1.5530673349206339,0.01777823952019085,-3.0986969694000437,True
3,"['Sr', 'Cr', 'V']",Sr2CrVO6,Sr,Cr,V,0.05660171749639287,1.5566017174963929,0.011018878704193942,-3.03554386699687,True
4,"['Ba', 'Nb', 'Ti']",Ba2NbTiO6,Ba,Nb,Ti,0.08758169142857208,1.412418308571428,0.010411896057930855,-3.0569400401615168,True
2,"['Sr', 'Cr', 'Sb']",Sr2CrSbO6,Sr,Cr,Sb,0.10245995547619136,1.6024599554761914,0.010082178166079562,-2.662283285997408,True
2,"['K', 'V', 'Cr']",K2VCrO6,K,V,Cr,0.11025702230158796,1.610257022301588,0.021577357426910738,-2.9484558780915116,True
11,"['Sr', 'Nb', 'Co']",Sr2NbCoO6,Sr,Nb,Co,0.12035078952381029,1.3796492104761897,0.010519332700555932,-2.7747716442042014,True
3,"['Sr', 'Nb', 'V']",Sr2NbVO6,Sr,Nb,V,0.12511879793650893,1.625118797936509,0.00876048973651161,-3.0785436784067515,True
2,"['Rb', 'Cr', 'V']",Rb2CrVO6,Rb,Cr,V,0.1265940816666664,1.6265940816666664,0.01052181037376601,-2.95009299354211,True
2,"['Ca', 'Cr', 'Mo']",Ca2CrMoO6,Ca,Cr,Mo,0.13106306001442958,1.3689369399855704,0.03156921444167328,-2.6525225419001184,True
1,"['Ca', 'Nb', 'Mn']",Ca2NbMnO6,Ca,Nb,Mn,0.1343262816450217,1.3656737183549783,0.010583288841189361,-3.022123231956376,True
7,"['Y', 'V', 'Ni']",Y2VNiO6,Y,V,Ni,0.14504025246031804,1.354959747539682,0.019221310905665295,-2.7832915260039677,True
2,"['Y', 'Ti', 'Cr']",Y2TiCrO6,Y,Ti,Cr,0.15498089388888903,1.345019106111111,0.024118905766300405,-3.1716340675047436,True
6,"['Sr', 'Nb', 'Ni']",Sr2NbNiO6,Sr,Nb,Ni,0.16141108571428409,1.661411085714284,0.010815484582813978,-2.7804523083981367,True
