generation,candidate,formula,A,B,B_prime,fitness,predicted_band_gap,predicted_ehull,predicted_formation_energy,charge_neutral
36,"['Sr', 'Ta', 'Co']",Sr2TaCoO6,Sr,Ta,Co,0.017168384920635216,1.5171683849206352,0.0032514430228887583,-2.884980643811411,True
11,"['Sr', 'Ta', 'Co']",Sr2TaCoO6,Sr,Ta,Co,0.017168384920635216,1.5171683849206352,0.0032514430228887583,-2.88498064381141,True
13,"['Sr', 'Ta', 'Co']",Sr2TaCoO6,Sr,Ta,Co,0.017168384920635216,1.5171683849206352,0.0032514430228887574,-2.88498064381141,True
26,"['Sr', 'Ta', 'Co']",Sr2TaCoO6,Sr,Ta,Co,0.017168384920635216,1.5171683849206352,0.0032514430228887583,-2.884980643811411,True
15,"['Sr', 'Ta', 'Co']",Sr2TaCoO6,Sr,Ta,Co,0.017168384920635216,1.5171683849206352,0.0032514430228887574,-2.8849806438114105,True
12,"['Sr', 'Ta', 'Co']",Sr2TaCoO6,Sr,Ta,Co,0.017168384920635216,1.5171683849206352,0.0032514430228887583,-2.884980643811411,True
14,"['Sr', 'Ta', 'Co']",Sr2TaCoO6,Sr,Ta,Co,0.017168384920635216,1.5171683849206352,0.0032514430228887583,-2.884980643811411,True
40,"['Sr', 'Ta', 'Co']",Sr2TaCoO6,Sr,Ta,Co,0.017168384920635216,1.5171683849206352,0.0032514430228887574,-2.884980643811411,True
28,"['Sr', 'Ta', 'Co']",Sr2TaCoO6,Sr,Ta,Co,0.017168384920635216,1.5171683849206352,0.0032514430228887583,-2.88498064381141,True
34,"['Sr', 'Ta', 'Co']",Sr2TaCoO6,Sr,Ta,Co,0.017168384920635216,1.5171683849206352,0.0032514430228887583,-2.88498064381141,True
24,"['Sr', 'Ta', 'Co']",Sr2TaCoO6,Sr,Ta,Co,0.017168384920635438,1.5171683849206354,0.0032514430228887574,-2.8849806438114105,True
24,"['Sr', 'Ta', 'Co']",Sr2TaCoO6,Sr,Ta,Co,0.017168384920635438,1.5171683849206354,0.0032514430228887583,-2.8849806438114105,True
24,"['Sr', 'Ta', 'Co']",Sr2TaCoO6,Sr,Ta,Co,0.017168384920635438,1.5171683849206354,0.0032514430228887583,-2.88498064381141,True
24,"['Sr', 'Ta', 'Co']",Sr2TaCoO6,Sr,Ta,Co,0.017168384920635438,1.5171683849206354,0.0032514430228887574,-2.884980643811411,True
