generation,candidate,formula,A,B,B_prime,fitness,predicted_band_gap,predicted_ehull,predicted_formation_energy,charge_neutral
1,"['Mg', 'V', 'Mo']",Mg2VMoO6,Mg,V,Mo,0.256285263345799,1.3681016462842706,0.06243869096300696,-2.7183728789541375,True
1,"['Sr', 'Cu', 'Cr']",Sr2CuCrO6,Sr,Cu,Cr,0.2602406007142859,1.760240600714286,0.01436331528889934,-2.6383133633502505,True
7,"['Ca', 'V', 'Co']",Ca2VCoO6,Ca,V,Co,0.2677053613419922,1.2322946386580078,0.020109357501086483,-2.808605562902242,True
1,"['Ba', 'Sn', 'Mn']",Ba2SnMnO6,Ba,Sn,Mn,0.2679268164790767,1.2320731835209233,0.021690992059823545,-2.854715914116084,True
4,"['Sr', 'Nb', 'Mn']",Sr2NbMnO6,Sr,Nb,Mn,0.27892974119047564,1.2210702588095244,0.005256489737545264,-2.992074140209,True
2,"['Na', 'Mo', 'V']",Na2MoVO6,Na,Mo,V,0.27973859339029183,1.2582489638961034,0.05379875572863953,-2.7888509183619976,True
1,"['Sr', 'Mn', 'W']",Sr2MnWO6,Sr,Mn,W,0.2852787828427117,1.7852787828427117,0.016085824851102975,-2.747135853585685,True
1,"['K', 'V', 'Mo']",K2VMoO6,K,V,Mo,0.28897297230158725,1.2110270276984128,0.015658146126775966,-2.9155406735910487,True
28,"['Sr', 'W', 'Co']",Sr2WCoO6,Sr,W,Co,0.2975809546320356,1.2024190453679644,0.003538317537763866,-2.602024205528905,True
1,"['Y', 'Mn', 'Ti']",Y2MnTiO6,Y,Mn,Ti,0.29940791777056375,1.2005920822294363,0.022949625718140777,-3.2687590992415916,True
2,"['Ca', 'Mo', 'Zr']",Ca2MoZrO6,Ca,Mo,Zr,0.3012578357142861,1.198742164285714,0.011510724704384988,-2.962451956885854,True
1,"['Li', 'Mn', 'Cr']",Li2MnCrO6,Li,Mn,Cr,0.30393484568372264,1.3094105147691184,0.061334536045284105,-2.810124433622767,True
4,"['Ca', 'Mo', 'Ti']",Ca2MoTiO6,Ca,Mo,Ti,0.31369976722222215,1.1863002327777779,0.028889945888155983,-2.8485360348780744,True
2,"['Na', 'Mo', 'Cr']",Na2MoCrO6,Na,Mo,Cr,0.31486129134566987,1.283931258556998,0.059879254990266785,-2.5465387026172768,True
3,"['Sr', 'Mn', 'Sb']",Sr2MnSbO6,Sr,Mn,Sb,0.326844871572874,1.173155128427126,0.011325405779987183,-2.60512784120564,True
36,"['Mg', 'Ta', 'Co']",Mg2TaCoO6,Mg,Ta,Co,0.3393718642992367,1.4566482138744592,0.07960200781736959,-2.5935150178964554,True
1,"['Mg', 'Ti', 'Mn']",Mg2TiMnO6,Mg,Ti,Mn,0.34297062866638894,1.3104056031746036,0.06533762318409926,-2.8491040473491207,True
3,"['Mg', 'Ta', 'Ni']",Mg2TaNiO6,Mg,Ta,Ni,0.3440282786151915,1.4736339990476182,0.08176622776628097,-2.5163822148097164,True
7,"['Sr', 'V', 'Mn']",Sr2VMnO6,Sr,V,Mn,0.34616358946608994,1.15383641053391,0.009400792741960937,-3.0246930154066294,True
3,"['Sr', 'Mn', 'V']",Sr2MnVO6,Sr,Mn,V,0.34616358946609016,1.1538364105339098,0.009400792741960937,-3.024693015406629,True
1,"['Ca', 'Mo', 'Sn']",Ca2MoSnO6,Ca,Mo,Sn,0.3487260205772016,1.8487260205772016,0.024361334958758023,-2.5594055818930417,True
